ID,G3E_FID,CD_SSDW,DEVICE_TYPE,CD_SSXL,NODE1_ID,NODE2_ID
8679,18982521,望牛墩供电分局,10kV开关,万江F10广场线,9995652,9995400
8680,19876498,望牛墩供电分局,站房引线,万江F10广场线,10539248,10539256
8681,19876499,望牛墩供电分局,站房引线,万江F10广场线,10539256,10539250
8676,18982518,望牛墩供电分局,10kV开关,万江F10广场线,9995397,9995633
8677,18982519,望牛墩供电分局,10kV开关,万江F10广场线,9995639,9995398
8678,18982520,望牛墩供电分局,10kV开关,万江F10广场线,9995645,9995399
8691,18980353,望牛墩供电分局,站房母线,万江F10广场线,9994275,9994275
8692,18980354,望牛墩供电分局,10kV开关,万江F10广场线,9993851,9997863
8693,18980356,望牛墩供电分局,10kV开关,万江F10广场线,9994283,9993852
8688,18980175,望牛墩供电分局,站房引线,万江F10广场线,9993637,9993677
8689,18982522,望牛墩供电分局,站房电缆头,万江F10广场线,9995398,10571310
8690,18982523,望牛墩供电分局,站房电缆头,万江F10广场线,10003284,9995397
8657,18976197,望牛墩供电分局,站房接地刀闸,万江F10广场线,9991777,0
8658,18976198,望牛墩供电分局,站房接地刀闸,万江F10广场线,9991778,0
8659,18976186,望牛墩供电分局,站房母线,万江F10广场线,9992708,9992708
8654,18976194,望牛墩供电分局,站房电缆头,万江F10广场线,9991778,9991781
8655,18976195,望牛墩供电分局,站房接地刀闸,万江F10广场线,9991775,0
8656,18976196,望牛墩供电分局,站房接地刀闸,万江F10广场线,9991776,0
8663,18976190,望牛墩供电分局,10kV开关,万江F10广场线,9992732,9991778
8664,18976191,望牛墩供电分局,站房电缆头,万江F10广场线,9991776,9991779
8675,18982517,望牛墩供电分局,站房母线,万江F10广场线,9995635,9995635
8660,18976187,望牛墩供电分局,10kV开关,万江F10广场线,9991775,9992703
8661,18976188,望牛墩供电分局,10kV开关,万江F10广场线,9992716,9991776
8662,18976189,望牛墩供电分局,10kV开关,万江F10广场线,9992723,9991777
8694,18980357,望牛墩供电分局,10kV开关,万江F10广场线,9994295,9993853
8721,18982528,望牛墩供电分局,站房接地刀闸,万江F10广场线,9995399,0
2735,11987636,望牛墩供电分局,10kV导线,万江F10广场线,7883277,8148278
8722,18982409,望牛墩供电分局,站房引线,万江F10广场线,9995272,9995289
8712,18982107,望牛墩供电分局,站房接地刀闸,万江F10广场线,9994651,0
8713,18982108,望牛墩供电分局,站房接地刀闸,万江F10广场线,9994652,0
8714,18982527,望牛墩供电分局,站房接地刀闸,万江F10广场线,9995398,0
8738,18982529,望牛墩供电分局,站房接地刀闸,万江F10广场线,9995400,0
8750,18984813,望牛墩供电分局,站房母线,万江F10广场线,9999087,9999087
8751,18984814,望牛墩供电分局,10kV开关,万江F10广场线,9998506,9999083
8723,18982410,望牛墩供电分局,站房引线,万江F10广场线,9995289,9995303
8724,18982412,望牛墩供电分局,站房引线,万江F10广场线,9995289,9995310
8725,18982416,望牛墩供电分局,站房引线,万江F10广场线,9995289,9995322
8698,18980361,望牛墩供电分局,站房电缆头,万江F10广场线,9993853,9993856
8699,18980362,望牛墩供电分局,站房电缆头,万江F10广场线,9993854,9993857
8700,18980363,望牛墩供电分局,站房接地刀闸,万江F10广场线,9993851,0
8695,18980358,望牛墩供电分局,10kV开关,万江F10广场线,9994383,9993854
8696,18980359,望牛墩供电分局,站房电缆头,万江F10广场线,9993852,11476688
8697,18980360,望牛墩供电分局,站房电缆头,万江F10广场线,9994265,9993851
8708,18982524,望牛墩供电分局,站房电缆头,万江F10广场线,9995399,0
8709,18982525,望牛墩供电分局,站房电缆头,万江F10广场线,9995400,9995403
8710,18982526,望牛墩供电分局,站房接地刀闸,万江F10广场线,9995397,0
8701,18980364,望牛墩供电分局,站房接地刀闸,万江F10广场线,9993852,0
8702,18980365,望牛墩供电分局,站房接地刀闸,万江F10广场线,9993853,0
8703,18980366,望牛墩供电分局,站房接地刀闸,万江F10广场线,9993854,0
2835,11974748,望牛墩供电分局,10kV开关,万江F10广场线,8224333,8615159
8511,18984259,望牛墩供电分局,10kV开关,万江F10广场线,9998280,9997502
8512,18984260,望牛墩供电分局,10kV开关,万江F10广场线,9998300,9997503
8509,18984257,望牛墩供电分局,10kV开关,万江F10广场线,9997500,9998252
8510,18984258,望牛墩供电分局,10kV开关,万江F10广场线,9998271,9997501
2836,11974791,望牛墩供电分局,10kV开关,万江F10广场线,8224364,8619651
8516,18984264,望牛墩供电分局,站房电缆头,万江F10广场线,9997503,9997506
8517,18984265,望牛墩供电分局,站房接地刀闸,万江F10广场线,9997500,0
246,30304867,望牛墩供电分局,站房引线,万江F10广场线,11476692,11530415
8513,18984261,望牛墩供电分局,站房电缆头,万江F10广场线,9997501,9997504
8514,18984262,望牛墩供电分局,站房电缆头,万江F10广场线,10002130,9997500
8515,18984263,望牛墩供电分局,站房电缆头,万江F10广场线,9997502,0
